code,num
C1072,752.879967107511
C1128,1370.1255118605284
C1456,609.3529975227653
C1840,404.6914930104652
C1332,1334.0176700346528
C1563,1508.9744967834831
C1794,831.0896869657342
C1640,628.8033175813589
C1377,279.7995779898947
C2072,294.6198876773175
C1472,506.51632206247615
C1006,234.94514211115435
C1083,453.3524412971092
C1311,236.82147721318347
C2676,352.5231093432962
C2318,569.7174046708822
C1603,463.1931833400315
C2523,282.0126145567108
C2177,215.93064662111533
C2411,700.6990098697713
C2033,255.9603468954867
C1604,611.3754523115396
C2535,591.0603972758497
C1040,460.68177681579505
C2417,488.9585241174763
C1812,184.76774884368555
C2253,163.95111895998326
C1294,741.9081565763784
C1772,406.6708994426179
C2646,606.8658370455595
C1152,953.0428183962077
C2423,122.08621106917492
C1844,480.4457370315366
C1318,258.66497304256984
C1729,144.93526318643313
C1602,291.19168829928594
C1239,388.6512487682716
C1721,696.5945175486241
C1902,933.4968743658392
C1855,284.5686649472658
C2600,393.1649040006427
C1071,550.0425968418813
C2295,501.63424883836313
C1621,642.7316842813287
C1852,880.4643368096272
C2555,1370.1255118605284
C1297,520.4674006326817
C2323,577.0261637966264
C2215,434.12681842284934
C2112,318.1744293587572
C1830,880.4643368096272
C2602,268.3869729467762
C2608,947.4732178020087
C1215,673.8966325910892
C2369,690.7524664580734
C1158,225.2749937908191
C1887,640.0720976747288
C1189,274.4706552231372
C1637,411.95511413365267
C1225,112.27888116524989
C2374,401.09818964638004
C2397,644.2804042580248
C1105,1002.2241278749534
C1782,501.45506101909535
C1629,184.18008869319564
C1708,286.113681770143
C2144,474.12403493261917
C1617,880.7408251131321
C1149,588.1979322355395
C1323,407.9113920515511
C1064,821.9960867640483
C1019,278.6572440920453
C2269,631.3480468922272
C1416,926.9494876886959
C1250,887.3287101614723
C1741,424.24863473625913
C1016,665.7892818999902
C2675,659.6452258644968
C2436,830.20080630448
C2039,994.866210034786
C1253,870.1629690344905
C2028,1370.1255118605284
C1166,378.6465117357495
C1135,245.162727793938
C1216,266.2668577554218
C1593,237.7062901158401
C1826,198.3139797701583
C1827,407.84042801459583
C1564,311.27484091674415
C1495,768.1423458333838
C2653,866.5651626144721
C1392,659.1202898732948
C2128,295.5119058898925
C1282,540.0819666644315
C1521,1006.0465137145678
C2076,867.1975287916102
C1060,653.1564833104833
C2473,810.4928062272027
C2557,835.9418896525558
C1835,760.1152329513949
C2224,803.0542807464851
C2222,384.1874709893533
C2430,898.0975441015264
C2497,641.2168462979139
C1494,989.7369801338848
C1457,682.6896730437102
C1525,1370.1255118605284
C1712,660.0570820111379
C2267,911.3653759761327
C1623,294.0708371535315
C2131,757.4886386961964
C2691,1108.3386436416754
C1147,687.4468872979663
C1692,989.150660222084
C1570,882.3620799436061
C1474,125.6767683926289
C1633,105.61339231101182
C2113,523.9156050950317
C2175,869.4945395592508
C2303,1430.4651127923976
C2547,532.4134605432527
C2292,665.5049735986223
C1496,726.3640899979093
C1289,297.9440375973936
C1849,616.5248834131521
C1003,241.10249158497385
C2268,433.01114902024995
C2551,510.59783327987174
C2688,132.7414696285809
C1030,132.7414696285809
C1327,125.6767683926289
C2451,632.1719566741355
C1749,442.9246394396718
C1349,258.18340419219794
C2043,266.6552692052876
C1229,249.9131070521425
C2363,441.5834649472347
C1414,414.77850329525205
C2174,434.28250028541646
C2091,133.15333690993174
C2335,170.21265066325037
C1841,133.15333690993174
C2404,132.7414696285809
C1683,201.81187189432956
C1038,272.9005583042155
C2456,241.42595892611527
C1266,353.06164956176275
C2152,102.6985578694288
C1267,422.34226576146494
C2189,226.75656678299623
